year,title,pdf_name
2017,A Bayesian Data Augmentation Approach for Learning Deep Models,6872-a-bayesian-data-augmentation-approach-for-learning-deep-models.pdf
2017,Deep Subspace Clustering Networks,6608-deep-subspace-clustering-networks.pdf
2017,Dual Discriminator Generative Adversarial Nets,6860-dual-discriminator-generative-adversarial-nets.pdf
2017,Efficient Optimization for Linear Dynamical Systems with Applications to Clustering and Sparse Coding,6936-efficient-optimization-for-linear-dynamical-systems-with-applications-to-clustering-and-sparse-coding.pdf
2017,Linearly constrained Gaussian processes,6721-linearly-constrained-gaussian-processes.pdf
2017,Process-constrained batch Bayesian optimisation,6933-process-constrained-batch-bayesian-optimisation.pdf
2017,Regularized Modal Regression with Applications in Cognitive Impairment Prediction,6743-regularized-modal-regression-with-applications-in-cognitive-impairment-prediction.pdf
2017,f-GANs in an Information Geometric Nutshell,6649-f-gans-in-an-information-geometric-nutshell.pdf
2016,A Simple Practical Accelerated Method for Finite Sums,6154-a-simple-practical-accelerated-method-for-finite-sums.pdf
2016,A scaled Bregman theorem with applications,6176-a-scaled-bregman-theorem-with-applications.pdf
2016,Causal Bandits: Learning Good Interventions via Causal Inference,6195-causal-bandits-learning-good-interventions-via-causal-inference.pdf
2016,Dual Space Gradient Descent for Online Learning,6560-dual-space-gradient-descent-for-online-learning.pdf
2016,Error Analysis of Generalized Nystr?m Kernel Regression,6602-error-analysis-of-generalized-nystrom-kernel-regression.pdf
2016,Homotopy Smoothing for Non-Smooth Problems with Lower Complexity than ,6407-homotopy-smoothing-for-non-smooth-problems-with-lower-complexity-than-o1epsilon.pdf
2016,Image Restoration Using Very Deep Convolutional Encoder-Decoder Networks with Symmetric Skip Connections,6172-image-restoration-using-very-deep-convolutional-encoder-decoder-networks-with-symmetric-skip-connections.pdf
2016,Infinite Hidden Semi-Markov Modulated Interaction Point Process,6243-infinite-hidden-semi-markov-modulated-interaction-point-process.pdf
2016,Learning the Number of Neurons in Deep Networks,6372-learning-the-number-of-neurons-in-deep-networks.pdf
2016,On Regularizing Rademacher Observation Losses,6572-on-regularizing-rademacher-observation-losses.pdf
2016,Spatio-Temporal Hilbert Maps for Continuous Occupancy Representation in Dynamic Environments,6541-spatio-temporal-hilbert-maps-for-continuous-occupancy-representation-in-dynamic-environments.pdf
2015,Convergence Analysis of Prediction Markets via Randomized Subspace Descent,5727-convergence-analysis-of-prediction-markets-via-randomized-subspace-descent.pdf
2015,Deeply Learning the Messages in Message Passing Inference,5791-deeply-learning-the-messages-in-message-passing-inference.pdf
2015,Efficient Thompson Sampling for Online ?Matrix-Factorization Recommendation,5985-efficient-thompson-sampling-for-online-matrix-factorization-recommendation.pdf
2015,Learning with Symmetric Label Noise: The Importance of Being Unhinged,5941-learning-with-symmetric-label-noise-the-importance-of-being-unhinged.pdf
2015,Maximum Likelihood Learning With Arbitrary Treewidth via Fast-Mixing Parameter Sets,5907-maximum-likelihood-learning-with-arbitrary-treewidth-via-fast-mixing-parameter-sets.pdf
2015,"Reflection, Refraction, and Hamiltonian Monte Carlo",5801-reflection-refraction-and-hamiltonian-monte-carlo.pdf
2014,(Almost) No Label No Cry,5453-almost-no-label-no-cry.pdf
2014,Encoding High Dimensional Local Features by Sparse Coding Based Fisher Vectors,5285-encoding-high-dimensional-local-features-by-sparse-coding-based-fisher-vectors.pdf
2014,From Stochastic Mixability to Fast Rates,5434-from-stochastic-mixability-to-fast-rates.pdf
2014,Projecting Markov Random Field Parameters for Fast Mixing,5315-projecting-markov-random-field-parameters-for-fast-mixing.pdf
2014,Robust Bayesian Max-Margin Clustering,5305-robust-bayesian-max-margin-clustering.pdf
2014,SAGA: A Fast Incremental Gradient Method With Support for Non-Strongly Convex Composite Objectives,5258-saga-a-fast-incremental-gradient-method-with-support-for-non-strongly-convex-composite-objectives.pdf
2013,Convex Two-Layer Modeling,4867-convex-two-layer-modeling.pdf
2013,Learning Chordal Markov Networks by Constraint Satisfaction,4960-learning-chordal-markov-networks-by-constraint-satisfaction.pdf
2013,Learning with Invariance via Linear Functionals on Reproducing Kernel Hilbert Space,4895-learning-with-invariance-via-linear-functionals-on-reproducing-kernel-hilbert-space.pdf
2013,Polar Operators for Structured Sparse Estimation,4935-polar-operators-for-structured-sparse-estimation.pdf
2013,Projecting Ising Model Parameters for Fast Mixing,4964-projecting-ising-model-parameters-for-fast-mixing.pdf
2013,Structured Learning via Logistic Regression,4870-structured-learning-via-logistic-regression.pdf
2012,A Convex Formulation for Learning Scale-Free Networks via Submodular Relaxation,4538-a-convex-formulation-for-learning-scale-free-networks-via-submodular-relaxation.pdf
2012,Adaptive Learning of Smoothing Functions: Application to Electricity Load Forecasting,4724-adaptive-learning-of-smoothing-functions-application-to-electricity-load-forecasting.pdf
2012,Assessing Blinding in Clinical Trials,4722-assessing-blinding-in-clinical-trials.pdf
2012,Interpreting prediction markets: a stochastic approach,4529-interpreting-prediction-markets-a-stochastic-approach.pdf
2012,Learning as MAP Inference in Discrete Graphical Models,4605-learning-as-map-inference-in-discrete-graphical-models.pdf
2012,Mixability in Statistical Learning,4835-mixability-in-statistical-learning.pdf
2012,Symbolic Dynamic Programming for Continuous State and Observation POMDPs,4756-symbolic-dynamic-programming-for-continuous-state-and-observation-pomdps.pdf
2011,Generalized Lasso based Approximation of Sparse Coding for Visual Recognition,4441-generalized-lasso-based-approximation-of-sparse-coding-for-visual-recognition.pdf
2011,Improving Topic Coherence with Regularized Topic Models,4291-improving-topic-coherence-with-regularized-topic-models.pdf
2011,Simultaneous Sampling and Multi-Structure Fitting with Adaptive Reversible Jump MCMC,4458-simultaneous-sampling-and-multi-structure-fitting-with-adaptive-reversible-jump-mcmc.pdf
2011,Submodular Multi-Label Learning,4239-submodular-multi-label-learning.pdf
2010,Gaussian Process Preference Elicitation,4141-gaussian-process-preference-elicitation.pdf
2010,Learning the context of a category,4139-learning-the-context-of-a-category.pdf
2010,Monte-Carlo Planning in Large POMDPs,4031-monte-carlo-planning-in-large-pomdps.pdf
2010,Multitask Learning without Label Correspondences,3990-multitask-learning-without-label-correspondences.pdf
2010,Optimal Web-Scale Tiering as a Flow Problem,3986-optimal-web-scale-tiering-as-a-flow-problem.pdf
2010,Reverse Multi-Label Learning,3920-reverse-multi-label-learning.pdf
2010,Why are some word orders more common than others? A uniform information density account,4085-why-are-some-word-orders-more-common-than-others-a-uniform-information-density-account.pdf
2010,Word Features for Latent Dirichlet Allocation,4094-word-features-for-latent-dirichlet-allocation.pdf
2009,Bootstrapping from Game Tree Search,3722-bootstrapping-from-game-tree-search.pdf
2009,Convex Relaxation of Mixture Regression with Efficient Algorithms,3822-convex-relaxation-of-mixture-regression-with-efficient-algorithms.pdf
2009,Discrete MDL Predicts in Total Variation,3746-discrete-mdl-predicts-in-total-variation.pdf
2009,Distribution Matching for Transduction,3666-distribution-matching-for-transduction.pdf
2009,Exponential Family Graph Matching and Ranking,3800-exponential-family-graph-matching-and-ranking.pdf
2009,Positive Semidefinite Metric Learning with Boosting,3658-positive-semidefinite-metric-learning-with-boosting.pdf
2009,Slow Learners are Fast,3888-slow-learners-are-fast.pdf
2009,The Ordered Residual Kernel for Robust Motion Subspace Clustering,3734-the-ordered-residual-kernel-for-robust-motion-subspace-clustering.pdf
2008,A computational model of hippocampal function in trace conditioning,3619-a-computational-model-of-hippocampal-function-in-trace-conditioning.pdf
2008,Efficient Exact Inference in Planar Ising Models,3390-efficient-exact-inference-in-planar-ising-models.pdf
2008,Generative and Discriminative Learning with Unknown Labeling Bias,3624-generative-and-discriminative-learning-with-unknown-labeling-bias.pdf
2008,Hierarchical Semi-Markov Conditional Random Fields for Recursive Sequential Data,3405-hierarchical-semi-markov-conditional-random-fields-for-recursive-sequential-data.pdf
2008,Kernel Measures of Independence for non-iid Data,3440-kernel-measures-of-independence-for-non-iid-data.pdf
2008,Kernelized Sorting,3608-kernelized-sorting.pdf
2008,PSDBoost: Matrix-Generation Linear Programming for Positive Semidefinite Matrices Learning,3611-psdboost-matrix-generation-linear-programming-for-positive-semidefinite-matrices-learning.pdf
2008,Supervised Exponential Family Principal Component Analysis via Convex Optimization,3442-supervised-exponential-family-principal-component-analysis-via-convex-optimization.pdf
2008,Tighter Bounds for Structured Estimation,3451-tighter-bounds-for-structured-estimation.pdf
2007,A Kernel Statistical Test of Independence,3201-a-kernel-statistical-test-of-independence.pdf
2007,Bundle Methods for Machine Learning,3230-bundle-methods-for-machine-learning.pdf
2007,COFI RANK - Maximum Margin Matrix Factorization for Collaborative Ranking,3359-cofi-rank-maximum-margin-matrix-factorization-for-collaborative-ranking.pdf
2007,Colored Maximum Variance Unfolding,3307-colored-maximum-variance-unfolding.pdf
2007,Convex Learning with Invariances,3218-convex-learning-with-invariances.pdf
2007,Temporal Difference Updating without a Learning Rate,3290-temporal-difference-updating-without-a-learning-rate.pdf
2006,A Bayesian Approach to Diffusion Models of Decision-Making and Response Time,3036-a-bayesian-approach-to-diffusion-models-of-decision-making-and-response-time.pdf
